16,12,50,10,-25,825,150,0,0,,,,,,,
path_ds,path_br,path_as,path_bl,path_br,path_as,path_bl,x,x,x,x,x,x,x,x,x
path_ds,path_ds,x,path_ds,path_ds,x,path_tr,path_bl,x,path_br,path_as,path_bl,x,decor_daisy,x,x
path_ds,path_tr,path_bl,path_ds,path_ds,x,x,path_ds,x,path_ds,x,path_ds,x,x,x,x
path_ds,x,path_ds,path_ds,path_ds,x,x,path_tr,path_as,path_tl,x,path_ds,x,path_br,path_as,path_as
path_ds,x,path_ds,path_ds,path_tr,path_as,path_as,path_bl,x,x,decor_flower,path_ds,x,path_ds,x,x
path_ds,decor_flower,path_ds,path_ds,decor_daisy,x,x,path_ds,x,x,x,path_ds,x,path_ds,x,x
path_ds,x,path_ds,path_ds,lake_br,lake_at,lake_ati,path_ds_bridge,lake_as_end,path_br,path_bl,path_ds,x,path_ds,x,x
path_ds,x,path_ds,path_ds,lake_dl,decor_lilypad,lake_tl,path_ds,x,path_ds,path_tr,path_tl,x,path_ds,x,x
path_ds,x,path_ds,path_ds,lake_dl,lake_dr,path_br,path_tl,x,path_ds,decor_flower,x,x,path_ds,x,x
path_ds,x,path_ds,path_ds,lake_tr,lake_tl,path_ds,x,x,path_ds,x,x,decor_flower,path_ds,x,x
path_ds,x,path_ds,path_ds,x,x,path_ds,decor_flower,x,path_ds,x,x,x,path_ds,x,x
path_tr,path_as,path_tl,path_tr,path_as,path_as,path_tl,x,x,path_tr,path_as,path_as,path_as,path_tl,x,x
