16,12,50,-25,120,-50,250,0,2,,,,,,,
x,x,x,path_br,path_as,path_bl,x,path_br,path_as,path_bl,x,path_br,path_as,path_bl,x,x
x,x,x,path_ds,x,path_ds,x,path_ds,x,path_ds,x,path_ds,x,path_tr,path_as,path_bl
path_as,path_bl,x,path_ds,x,path_tr,path_as,path_tl,x,path_ds,x,path_ds,x,x,x,path_ds
x,path_tr,path_as,path_tl,x,x,x,x,x,path_ds,x,path_tr,path_as,path_bl,x,path_ds
x,x,x,x,x,x,x,x,x,path_ds,x,x,x,path_ds,x,path_ds
path_as,path_as,path_as,path_as,path_as,path_as,path_as,path_bl,x,path_tr,path_as,path_bl,x,path_ds,x,path_ds
x,x,x,x,x,x,x,path_tr,path_bl,x,x,path_ds,x,path_ds,x,path_ds
x,path_br,path_as,path_as,path_as,path_bl,x,x,path_ds,x,x,path_ds,x,path_ds,x,path_ds
x,path_ds,x,x,x,path_tr,path_as,path_as,path_tl,x,x,path_ds,x,path_ds,x,path_ds
x,path_tr,path_as,path_bl,x,x,x,x,x,x,x,path_tr,path_as,path_tl,x,path_ds
x,x,x,path_ds,x,x,x,path_br,path_as,path_bl,x,x,x,x,x,path_ds
x,x,x,path_tr,path_as,path_as,path_as,path_tl,x,path_tr,path_as,path_as,path_as,path_as,path_as,path_tl
