16,12,50,62,625,700,625,1,11,,,,,,,
water_at,water_at,water_at,water_at,water_at,water_at,water_at,water_at,water_at,water_at,water_at,water_at,water_at,water_at,water_at,water_at
path_br,path_as,path_as,path_as,path_bl,x,x,sand_castle,x,x,path_br,path_as,path_bl,x,x,x
path_ds,x,x,x,path_tr,path_as,path_bl,x,x,x,path_ds,x,path_ds,x,cactus,x
path_ds,cactus,x,x,x,x,path_ds,x,path_br,path_as,path_tl,x,path_ds,x,x,x
path_tr,path_as,path_as,path_as,path_bl,x,path_ds,x,path_ds,x,x,x,path_tr,path_as,path_bl,x
x,x,x,x,path_ds,x,path_ds,x,path_ds,cactus,x,x,x,x,path_ds,x
x,path_br,path_as,path_as,path_tl,cactus,path_ds,x,path_ds,x,x,x,x,x,path_ds,x
x,path_ds,x,sand_castle,x,x,path_ds,x,path_ds,x,x,x,water_brs,water_bls,path_ds,x
x,path_ds,x,x,path_br,path_as,path_tl,x,path_ds,x,sand_castle,x,water_trs,water_tls,path_ds,x
x,path_ds,x,x,path_ds,x,x,x,path_ds,x,x,x,x,x,path_ds,x
x,path_ds,x,x,path_tr,path_as,path_as,path_as,path_tl,x,x,x,x,x,path_ds,x
x,path_ds,x,x,x,x,x,x,x,x,x,x,x,x,path_ds,x
